,scientificName,decimalLatitude,decimalLongitude
264,Sciopemyia sordellii,-14.43,-54.05
265,Sciopemyia sordellii,-14.41,-56.45
266,Sciopemyia sordellii,-14.21,-56.57
267,Sciopemyia sordellii,-14.05,-52.16
268,Sciopemyia sordellii,-13.83,-56.08
269,Sciopemyia sordellii,-13.81,-55.26
270,Sciopemyia sordellii,-13.67,-57.88
271,Sciopemyia sordellii,-13.66,-59.79
272,Sciopemyia sordellii,-13.55,-52.27
273,Sciopemyia sordellii,-13.53,-59.08
274,Sciopemyia sordellii,-13.24,-53.08
275,Sciopemyia sordellii,-13.05,-55.91
276,Sciopemyia sordellii,-13.01,-57.06
277,Sciopemyia sordellii,-13.01,-55.26
278,Sciopemyia sordellii,-12.92,-51.82
279,Sciopemyia sordellii,-12.55,-55.71
280,Sciopemyia sordellii,-12.35,-52.11
281,Sciopemyia sordellii,-12.23,-56.64
282,Sciopemyia sordellii,-12.18,-55.19
283,Sciopemyia sordellii,-12.15,-57.98
284,Sciopemyia sordellii,-11.97,-51.58
285,Sciopemyia sordellii,-11.97,-41.27
286,Sciopemyia sordellii,-11.83,-55.49
287,Sciopemyia sordellii,-11.66,-51.38
288,Sciopemyia sordellii,-11.61,-50.67
289,Sciopemyia sordellii,-11.52,-54.36
290,Sciopemyia sordellii,-11.49,-54.88
291,Sciopemyia sordellii,-11.41,-57.35
292,Sciopemyia sordellii,-11.38,-58.74
293,Sciopemyia sordellii,-11.35,-54.52
294,Sciopemyia sordellii,-11.11,-54.6
295,Sciopemyia sordellii,-11.03,-51.83
296,Sciopemyia sordellii,-10.87,-51.63
297,Sciopemyia sordellii,-10.82,-53.35
298,Sciopemyia sordellii,-10.81,-55.45
299,Sciopemyia sordellii,-10.8,-56.62
300,Sciopemyia sordellii,-10.75,-50.37
301,Sciopemyia sordellii,-10.64,-51.56
302,Sciopemyia sordellii,-10.55,-55.95
303,Sciopemyia sordellii,-10.51,-55.23
304,Sciopemyia sordellii,-10.44,-55.27
305,Sciopemyia sordellii,-10.22,-54.98
306,Sciopemyia sordellii,-10.05,-54.9
307,Sciopemyia sordellii,-10.0371,-67.7853
308,Sciopemyia sordellii,-10.01,-51.11
309,Sciopemyia sordellii,-9.96,-55.83
310,Sciopemyia sordellii,-9.95,-57.86
311,Sciopemyia sordellii,-9.88,-56.09
312,Sciopemyia sordellii,-9.78,-54.9
313,Sciopemyia sordellii,-9.67,-56.48
314,Sciopemyia sordellii,-9.54,-57.45
315,Sciopemyia sordellii,-9.4,-59.03
